SSN Areacode,Location
431,Arkansas
432,Arkansas
433,Louisiana
434,Louisiana
435,Louisiana
436,Louisiana
437,Louisiana
438,Louisiana
439,Louisiana
440,Oklahoma
441,Oklahoma
442,Oklahoma
443,Oklahoma
444,Oklahoma
445,Oklahoma
446,Oklahoma
447,Oklahoma
448,Oklahoma
449,Texas
450,Texas
451,Texas
452,Texas
453,Texas
454,Texas
455,Texas
456,Texas
457,Texas
458,Texas
459,Texas
460,Texas
461,Texas
462,Texas
463,Texas
464,Texas
465,Texas
466,Texas
467,Texas
468,Minnesota
469,Minnesota
470,Minnesota
471,Minnesota
472,Minnesota
473,Minnesota
474,Minnesota
475,Minnesota
476,Minnesota
477,Minnesota
478,Iowa
479,Iowa
480,Iowa
481,Iowa
482,Iowa
483,Iowa
484,Iowa
485,Iowa
486,Missouri
487,Missouri
488,Missouri
489,Missouri
490,Missouri
491,Missouri
492,Missouri
493,Missouri
494,Missouri
495,Missouri
496,Missouri
497,Missouri
498,Missouri
499,Missouri
500,Missouri
501,North Dakota
502,North Dakota
503,South Dakota
504,South Dakota
505,Nebraska
506,Nebraska
507,Nebraska
508,Nebraska
509,Kansas
510,Kansas
511,Kansas
512,Kansas
513,Kansas
514,Kansas
515,Kansas
516,Montana
517,Montana
518,Idaho
519,Idaho
520,Wyoming
521,Colorado
522,Colorado
523,Colorado
524,Colorado
525,New Mexico
526,Arizona
527,Arizona
528,Utah
529,Utah
530,Nevada
531,Washington
532,Washington
533,Washington
534,Washington
535,Washington
536,Washington
537,Washington
538,Washington
539,Washington
540,Oregon
541,Oregon
542,Oregon
543,Oregon
544,Oregon
545,California
546,California
547,California
548,California
549,California
550,California
551,California
552,California
553,California
554,California
555,California
556,California
557,California
558,California
559,California
560,California
561,California
562,California
563,California
564,California
565,California
566,California
567,California
568,California
569,California
570,California
571,California
572,California
573,California
574,Alaska
575,Hawaii
576,Hawaii
577,District of Columbia
578,District of Columbia
579,District of Columbia
580,Virgin Islands
581,Puerto Rico
582,Puerto Rico
583,Puerto Rico
584,Puerto Rico
585,New Mexico
586,Pacific Islands Guam American Samoa Philippine Islands Northern Mariana Islands
587,Mississippi
588,Mississippi
589,Florida
590,Florida
591,Florida
592,Florida
593,Florida
594,Florida
595,Florida
596,Puerto Rico
597,Puerto Rico
598,Puerto Rico
599,Puerto Rico
600,Arizona
601,Arizona
602,California
603,California
604,California
605,California
606,California
607,California
608,California
609,California
610,California
611,California
612,California
613,California
614,California
615,California
616,California
617,California
618,California
619,California
620,California
621,California
622,California
623,California
624,California
625,California
626,California
627,Texas
628,Texas
629,Texas
630,Texas
631,Texas
632,Texas
633,Texas
634,Texas
635,Texas
636,Texas
637,Texas
638,Texas
639,Texas
640,Texas
641,Texas
642,Texas
643,Texas
644,Texas
645,Texas
646,Utah
647,Utah
648,New Mexico
649,New Mexico
650,Not Issued
651,Not Issued
652,Not Issued
653,Not Issued
654,Not Issued
655,Not Issued
656,Not Issued
657,Not Issued
658,Not Issued
659,Not Issued
660,Not Issued
661,Not Issued
662,Not Issued
663,Not Issued
664,Not Issued
665,Not Issued
666,Not Issued
667,Not Issued
668,Not Issued
669,Not Issued
670,Not Issued
671,Not Issued
672,Not Issued
673,Not Issued
674,Not Issued
675,Not Issued
676,Not Issued
677,Not Issued
678,Not Issued
679,Not Issued
680,Not Issued
681,Not Issued
682,Not Issued
683,Not Issued
684,Not Issued
685,Not Issued
686,Not Issued
687,Not Issued
688,Not Issued
689,Not Issued
690,Not Issued
691,Not Issued
692,Not Issued
693,Not Issued
694,Not Issued
695,Not Issued
696,Not Issued
697,Not Issued
698,Not Issued
699,Not Issued
700,"Railroad Board (discontinued July 1, 1963)"
701,"Railroad Board (discontinued July 1, 1963)"
702,"Railroad Board (discontinued July 1, 1963)"
703,"Railroad Board (discontinued July 1, 1963)"
704,"Railroad Board (discontinued July 1, 1963)"
705,"Railroad Board (discontinued July 1, 1963)"
706,"Railroad Board (discontinued July 1, 1963)"
707,"Railroad Board (discontinued July 1, 1963)"
708,"Railroad Board (discontinued July 1, 1963)"
709,"Railroad Board (discontinued July 1, 1963)"
710,"Railroad Board (discontinued July 1, 1963)"
711,"Railroad Board (discontinued July 1, 1963)"
712,"Railroad Board (discontinued July 1, 1963)"
713,"Railroad Board (discontinued July 1, 1963)"
714,"Railroad Board (discontinued July 1, 1963)"
715,"Railroad Board (discontinued July 1, 1963)"
716,"Railroad Board (discontinued July 1, 1963)"
717,"Railroad Board (discontinued July 1, 1963)"
718,"Railroad Board (discontinued July 1, 1963)"
719,"Railroad Board (discontinued July 1, 1963)"
720,"Railroad Board (discontinued July 1, 1963)"
721,"Railroad Board (discontinued July 1, 1963)"
722,"Railroad Board (discontinued July 1, 1963)"
723,"Railroad Board (discontinued July 1, 1963)"
724,"Railroad Board (discontinued July 1, 1963)"
725,"Railroad Board (discontinued July 1, 1963)"
726,"Railroad Board (discontinued July 1, 1963)"
727,"Railroad Board (discontinued July 1, 1963)"
728,"Railroad Board (discontinued July 1, 1963)"
729,Not Issued
730,Not Issued
731,Not Issued
732,Not Issued
733,Not Issued
734,Not Issued
735,Not Issued
736,Not Issued
737,Not Issued
738,Not Issued
739,Not Issued
740,Not Issued
741,Not Issued
742,Not Issued
743,Not Issued
744,Not Issued
745,Not Issued
746,Not Issued
747,Not Issued
748,Not Issued
749,Not Issued
750,Not Issued
751,Not Issued
752,Not Issued
753,Not Issued
754,Not Issued
755,Not Issued
756,Not Issued
757,Not Issued
758,Not Issued
759,Not Issued
760,Not Issued
761,Not Issued
762,Not Issued
763,Not Issued
764,Not Issued
765,Not Issued
766,Not Issued
767,Not Issued
768,Not Issued
769,Not Issued
800,Not Issued
801,Not Issued
802,Not Issued
803,Not Issued
804,Not Issued
805,Not Issued
806,Not Issued
807,Not Issued
808,Not Issued
809,Not Issued
810,Not Issued
811,Not Issued
812,Not Issued
813,Not Issued
814,Not Issued
815,Not Issued
816,Not Issued
817,Not Issued
818,Not Issued
819,Not Issued
820,Not Issued
821,Not Issued
822,Not Issued
823,Not Issued
824,Not Issued
825,Not Issued
826,Not Issued
827,Not Issued
828,Not Issued
829,Not Issued
830,Not Issued
831,Not Issued
832,Not Issued
833,Not Issued
834,Not Issued
835,Not Issued
836,Not Issued
837,Not Issued
838,Not Issued
839,Not Issued
840,Not Issued
841,Not Issued
842,Not Issued
843,Not Issued
844,Not Issued
845,Not Issued
846,Not Issued
847,Not Issued
848,Not Issued
849,Not Issued
850,Not Issued
851,Not Issued
852,Not Issued
853,Not Issued
854,Not Issued
855,Not Issued
856,Not Issued
857,Not Issued
858,Not Issued
859,Not Issued
860,Not Issued
861,Not Issued
862,Not Issued
863,Not Issued
864,Not Issued
865,Not Issued
866,Not Issued
867,Not Issued
868,Not Issued
869,Not Issued
870,Not Issued
871,Not Issued
872,Not Issued
873,Not Issued
874,Not Issued
875,Not Issued
876,Not Issued
877,Not Issued
878,Not Issued
879,Not Issued
880,Not Issued
881,Not Issued
882,Not Issued
883,Not Issued
884,Not Issued
885,Not Issued
886,Not Issued
887,Not Issued
888,Not Issued
889,Not Issued
890,Not Issued
891,Not Issued
892,Not Issued
893,Not Issued
894,Not Issued
895,Not Issued
896,Not Issued
897,Not Issued
898,Not Issued
899,Not Issued
900,Not Issued
901,Not Issued
902,Not Issued
903,Not Issued
904,Not Issued
905,Not Issued
906,Not Issued
907,Not Issued
908,Not Issued
909,Not Issued
910,Not Issued
911,Not Issued
912,Not Issued
913,Not Issued
914,Not Issued
915,Not Issued
916,Not Issued
917,Not Issued
918,Not Issued
919,Not Issued
920,Not Issued
921,Not Issued
922,Not Issued
923,Not Issued
924,Not Issued
925,Not Issued
926,Not Issued
927,Not Issued
928,Not Issued
929,Not Issued
930,Not Issued
931,Not Issued
932,Not Issued
933,Not Issued
934,Not Issued
935,Not Issued
936,Not Issued
937,Not Issued
938,Not Issued
939,Not Issued
940,Not Issued
941,Not Issued
942,Not Issued
943,Not Issued
944,Not Issued
945,Not Issued
946,Not Issued
947,Not Issued
948,Not Issued
949,Not Issued
950,Not Issued
951,Not Issued
952,Not Issued
953,Not Issued
954,Not Issued
955,Not Issued
956,Not Issued
957,Not Issued
958,Not Issued
959,Not Issued
960,Not Issued
961,Not Issued
962,Not Issued
963,Not Issued
964,Not Issued
965,Not Issued
966,Not Issued
967,Not Issued
968,Not Issued
969,Not Issued
970,Not Issued
971,Not Issued
972,Not Issued
973,Not Issued
974,Not Issued
975,Not Issued
976,Not Issued
977,Not Issued
978,Not Issued
979,Not Issued
980,Not Issued
981,Not Issued
982,Not Issued
983,Not Issued
984,Not Issued
985,Not Issued
986,Not Issued
987,Not Issued
988,Not Issued
989,Not Issued
990,Not Issued
991,Not Issued
992,Not Issued
993,Not Issued
994,Not Issued
995,Not Issued
996,Not Issued
997,Not Issued
998,Not Issued
999,Not Issued
